x,y
118.71957180609768,-28.60405140327894
119.7180533904526,-28.812460801670614
120.71666686111752,-29.020237392535694
121.71537394202213,-29.22756359480035
122.714147515736,-29.434569252133453
123.71296834580507,-29.641346780501202
124.71182277384383,-29.847961954134938
125.71070109568554,-30.054461584493477
126.70959641337646,-30.260878986573545
127.70850382204625,-30.46723786980561
128.70741983320258,-30.673555107413044
129.70634196530972,-30.87984270742945
130.70526845290877,-31.086109215471264
131.70419803987497,-31.2923607130744
132.70312983242522,-31.498601528187702
133.70206319456557,-31.704834740806294
134.70099767373668,-31.911062542815703
135.69993294788077,-32.11728649407091
136.69886878779704,-32.32350770463967
137.69780503042,-32.52972696451018
138.69674155968417,-32.73594483587283
139.695678293114,-32.94216171883526
140.6946151717763,-33.14837789808411
141.69355215365795,-33.35459357620131
142.69248920927419,-33.56080889743977
143.69142631747172,-33.767023964421654
144.69017358770367,-33.974150737615794
145.6862542870935,-34.193704506528675
146.6794741281543,-34.42587800125875
147.67055976365995,-34.66700927709357
148.65812296538274,-34.92204332598365
149.63450586641295,-35.21687198884819
150.59981796427766,-35.546258338630594
151.55468493743274,-35.90472315467203
152.4869061465732,-36.318072257329135
153.38270255213632,-36.80534382986334
154.2342778256003,-37.36608183933566
155.0296954534047,-38.00412535112627
155.77780804036135,-38.69724774008186
156.4899328403752,-39.427399774257395
157.17532760957764,-40.182750625646136
157.83934872365336,-40.95695439582637
158.46354575173325,-41.763405670277976
159.02940556353758,-42.611843636085275
159.54839969520663,-43.489832917807064
160.03310453177676,-44.38725710037289
160.49296393883105,-45.297687341917204
160.93492893056973,-46.21694987364289
161.364055560348,-47.142281443516204
161.7839947087246,-48.0718217196733
162.1973702734815,-49.00430100126169
162.60606224318033,-49.93884331620768
163.01141481305208,-50.87483931857412
163.41438772515755,-51.81186249771733
163.815665556339,-52.749612945711704
164.20801607558357,-53.69110078977024
164.56216711639652,-54.647556132968475
164.88012501437967,-55.61668799198209
165.17204947744307,-56.59399882176785
165.44531941064554,-57.5766999165745
165.71350255933208,-58.56080561740181
165.99648428275708,-59.54075651984234
166.291283724843,-60.517221772550926
166.59446502179804,-61.49111940906873
166.8935597897372,-62.46625559367407
167.15310393606495,-63.452582758090195
167.3725564192404,-64.44864532165056
167.56322915718005,-65.45063997830061
167.73332421919437,-66.45634472657378
167.88873149938283,-67.46442984135504
168.03366598883923,-68.47407701788777
168.17113795436526,-69.4847689244731
168.3032946193285,-70.4961703927888
168.42810011093025,-71.50849305308937
